token1,token2,token3,token4,token5,target
1802,1803,462,4,1804,27
1803,462,4,1804,27,852
462,4,1804,27,852,34
4,1804,27,852,34,2
1804,27,852,34,2,157
27,852,34,2,157,789
852,34,2,157,789,836
34,2,157,789,836,5
2,157,789,836,5,1805
157,789,836,5,1805,9
789,836,5,1805,9,164
836,5,1805,9,164,12
5,1805,9,164,12,11
1805,9,164,12,11,206
9,164,12,11,206,33
164,12,11,206,33,1165
12,11,206,33,1165,1165
11,206,33,1165,1165,220
206,33,1165,1165,220,1166
33,1165,1165,220,1166,11
1165,1165,220,1166,11,1806
1165,220,1166,11,1806,76
220,1166,11,1806,76,653
1166,11,1806,76,653,777
11,1806,76,653,777,13
1806,76,653,777,13,76
76,653,777,13,76,853
653,777,13,76,853,155
777,13,76,853,155,10
13,76,853,155,10,87
76,853,155,10,87,70
853,155,10,87,70,658
155,10,87,70,658,25
10,87,70,658,25,290
87,70,658,25,290,187
70,658,25,290,187,537
658,25,290,187,537,457
25,290,187,537,457,166
290,187,537,457,166,28
187,537,457,166,28,67
537,457,166,28,67,1167
457,166,28,67,1167,23
166,28,67,1167,23,78
28,67,1167,23,78,2
67,1167,23,78,2,1807
1167,23,78,2,1807,15
23,78,2,1807,15,784
78,2,1807,15,784,27
2,1807,15,784,27,144
1807,15,784,27,144,668
15,784,27,144,668,32
784,27,144,668,32,197
27,144,668,32,197,4
144,668,32,197,4,75
668,32,197,4,75,104
32,197,4,75,104,665
197,4,75,104,665,1808
4,75,104,665,1808,27
75,104,665,1808,27,1809
104,665,1808,27,1809,15
665,1808,27,1809,15,1
1808,27,1809,15,1,1168
27,1809,15,1,1168,18
1809,15,1,1168,18,60
15,1,1168,18,60,1169
1,1168,18,60,1169,52
1168,18,60,1169,52,1
18,60,1169,52,1,411
60,1169,52,1,411,595
1169,52,1,411,595,232
52,1,411,595,232,5
1,411,595,232,5,250
411,595,232,5,250,6
595,232,5,250,6,1
232,5,250,6,1,204
5,250,6,1,204,109
250,6,1,204,109,3
6,1,204,109,3,1170
1,204,109,3,1170,10
204,109,3,1170,10,821
109,3,1170,10,821,15
3,1170,10,821,15,1
1170,10,821,15,1,1810
10,821,15,1,1810,150
821,15,1,1810,150,2
15,1,1810,150,2,84
1,1810,150,2,84,34
1810,150,2,84,34,8
150,2,84,34,8,9
2,84,34,8,9,285
84,34,8,9,285,1811
34,8,9,285,1811,11
8,9,285,1811,11,156
9,285,1811,11,156,140
285,1811,11,156,140,490
1811,11,156,140,490,5
11,156,140,490,5,80
156,140,490,5,80,100
140,490,5,80,100,38
490,5,80,100,38,6
5,80,100,38,6,1
80,100,38,6,1,205
100,38,6,1,205,176
38,6,1,205,176,30
6,1,205,176,30,2
1,205,176,30,2,330
205,176,30,2,330,854
176,30,2,330,854,1
30,2,330,854,1,416
2,330,854,1,416,8
330,854,1,416,8,36
854,1,416,8,36,533
1,416,8,36,533,5
416,8,36,533,5,59
8,36,533,5,59,17
36,533,5,59,17,1
533,5,59,17,1,155
5,59,17,1,155,663
59,17,1,155,663,493
17,1,155,663,493,1812
1,155,663,493,1812,494
155,663,493,1812,494,75
663,493,1812,494,75,104
493,1812,494,75,104,1027
1812,494,75,104,1027,669
494,75,104,1027,669,5
75,104,1027,669,5,1
104,1027,669,5,1,1813
1027,669,5,1,1813,312
669,5,1,1813,312,16
5,1,1813,312,16,495
1,1813,312,16,495,1171
1813,312,16,495,1171,53
312,16,495,1171,53,855
16,495,1171,53,855,86
495,1171,53,855,86,139
1171,53,855,86,139,6
53,855,86,139,6,41
855,86,139,6,41,217
86,139,6,41,217,34
139,6,41,217,34,353
6,41,217,34,353,4
41,217,34,353,4,19
217,34,353,4,19,60
34,353,4,19,60,292
353,4,19,60,292,553
4,19,60,292,553,16
19,60,292,553,16,1172
60,292,553,16,1172,58
292,553,16,1172,58,670
553,16,1172,58,670,1814
16,1172,58,670,1814,120
1172,58,670,1814,120,170
58,670,1814,120,170,835
670,1814,120,170,835,18
1814,120,170,835,18,356
120,170,835,18,356,105
170,835,18,356,105,5
835,18,356,105,5,1173
18,356,105,5,1173,1
356,105,5,1173,1,1815
105,5,1173,1,1815,4
5,1173,1,1815,4,564
1173,1,1815,4,564,4
1,1815,4,564,4,19
1815,4,564,4,19,27
4,564,4,19,27,12
564,4,19,27,12,2
4,19,27,12,2,67
19,27,12,2,67,1816
27,12,2,67,1816,321
12,2,67,1816,321,1174
2,67,1816,321,1174,32
67,1816,321,1174,32,856
1816,321,1174,32,856,1154
321,1174,32,856,1154,9
1174,32,856,1154,9,565
32,856,1154,9,565,38
856,1154,9,565,38,1817
1154,9,565,38,1817,75
9,565,38,1817,75,104
565,38,1817,75,104,13
38,1817,75,104,13,75
1817,75,104,13,75,60
75,104,13,75,60,347
104,13,75,60,347,4
13,75,60,347,4,1818
75,60,347,4,1818,9
60,347,4,1818,9,1175
347,4,1818,9,1175,86
4,1818,9,1175,86,15
1818,9,1175,86,15,9
9,1175,86,15,9,1819
1175,86,15,9,1819,1820
86,15,9,1819,1820,27
15,9,1819,1820,27,1176
9,1819,1820,27,1176,137
1819,1820,27,1176,137,417
1820,27,1176,137,417,1
27,1176,137,417,1,370
1176,137,417,1,370,5
137,417,1,370,5,1177
417,1,370,5,1177,1
1,370,5,1177,1,1821
370,5,1177,1,1821,43
5,1177,1,1821,43,255
1177,1,1821,43,255,25
1,1821,43,255,25,2
1821,43,255,25,2,1149
43,255,25,2,1149,11
255,25,2,1149,11,1178
25,2,1149,11,1178,43
2,1149,11,1178,43,1
1149,11,1178,43,1,399
11,1178,43,1,399,5
1178,43,1,399,5,87
43,1,399,5,87,43
1,399,5,87,43,1
399,5,87,43,1,252
5,87,43,1,252,79
87,43,1,252,79,1822
43,1,252,79,1822,97
1,252,79,1822,97,20
252,79,1822,97,20,598
79,1822,97,20,598,33
1822,97,20,598,33,744
97,20,598,33,744,75
20,598,33,744,75,104
598,33,744,75,104,4
33,744,75,104,4,19
744,75,104,4,19,60
75,104,4,19,60,1823
104,4,19,60,1823,6
4,19,60,1823,6,72
19,60,1823,6,72,75
60,1823,6,72,75,104
1823,6,72,75,104,857
6,72,75,104,857,72
72,75,104,857,72,540
75,104,857,72,540,12
104,857,72,540,12,1824
857,72,540,12,1824,60
72,540,12,1824,60,168
540,12,1824,60,168,5
12,1824,60,168,5,250
1824,60,168,5,250,38
60,168,5,250,38,63
168,5,250,38,63,1
5,250,38,63,1,146
250,38,63,1,146,15
38,63,1,146,15,1
63,1,146,15,1,243
1,146,15,1,243,3
146,15,1,243,3,387
15,1,243,3,387,5
1,243,3,387,5,150
243,3,387,5,150,34
3,387,5,150,34,1
387,5,150,34,1,397
5,150,34,1,397,184
150,34,1,397,184,815
34,1,397,184,815,3
1,397,184,815,3,543
397,184,815,3,543,11
184,815,3,543,11,238
815,3,543,11,238,5
3,543,11,238,5,643
543,11,238,5,643,858
11,238,5,643,858,8
238,5,643,858,8,312
5,643,858,8,312,771
643,858,8,312,771,38
858,8,312,771,38,6
8,312,771,38,6,74
312,771,38,6,74,146
771,38,6,74,146,1825
38,6,74,146,1825,57
6,74,146,1825,57,16
74,146,1825,57,16,210
146,1825,57,16,210,180
1825,57,16,210,180,1826
57,16,210,180,1826,203
16,210,180,1826,203,859
210,180,1826,203,859,5
180,1826,203,859,5,3
1826,203,859,5,3,45
203,859,5,3,45,276
859,5,3,45,276,34
5,3,45,276,34,2
3,45,276,34,2,601
45,276,34,2,601,136
276,34,2,601,136,1827
34,2,601,136,1827,102
2,601,136,1827,102,1
601,136,1827,102,1,243
136,1827,102,1,243,17
1827,102,1,243,17,1
102,1,243,17,1,205
1,243,17,1,205,477
243,17,1,205,477,8
17,1,205,477,8,1
1,205,477,8,1,146
205,477,8,1,146,3
477,8,1,146,3,45
8,1,146,3,45,73
1,146,3,45,73,97
146,3,45,73,97,1
3,45,73,97,1,663
45,73,97,1,663,8
73,97,1,663,8,490
97,1,663,8,490,15
1,663,8,490,15,1
663,8,490,15,1,1179
8,490,15,1,1179,8
490,15,1,1179,8,308
15,1,1179,8,308,225
1,1179,8,308,225,671
1179,8,308,225,671,860
8,308,225,671,860,10
308,225,671,860,10,4
225,671,860,10,4,3
671,860,10,4,3,1180
860,10,4,3,1180,3
10,4,3,1180,3,168
4,3,1180,3,168,15
3,1180,3,168,15,9
1180,3,168,15,9,1828
3,168,15,9,1828,5
168,15,9,1828,5,25
15,9,1828,5,25,2
9,1828,5,25,2,1829
1828,5,25,2,1829,8
5,25,2,1829,8,9
25,2,1829,8,9,285
2,1829,8,9,285,3
1829,8,9,285,3,7
8,9,285,3,7,217
9,285,3,7,217,2
285,3,7,217,2,1830
3,7,217,2,1830,645
7,217,2,1830,645,1
217,2,1830,645,1,1831
2,1830,645,1,1831,1832
1830,645,1,1831,1832,8
645,1,1831,1832,8,210
1,1831,1832,8,210,180
1831,1832,8,210,180,113
1832,8,210,180,113,396
8,210,180,113,396,672
210,180,113,396,672,5
180,113,396,672,5,1181
113,396,672,5,1181,195
396,672,5,1181,195,1
672,5,1181,195,1,1833
5,1181,195,1,1833,597
1181,195,1,1833,597,1
195,1,1833,597,1,67
1,1833,597,1,67,151
1833,597,1,67,151,293
597,1,67,151,293,20
1,67,151,293,20,114
67,151,293,20,114,744
151,293,20,114,744,1834
293,20,114,744,1834,115
20,114,744,1834,115,6
114,744,1834,115,6,861
744,1834,115,6,861,10
1834,115,6,861,10,85
115,6,861,10,85,673
6,861,10,85,673,52
861,10,85,673,52,156
10,85,673,52,156,9
85,673,52,156,9,490
673,52,156,9,490,277
52,156,9,490,277,1835
156,9,490,277,1835,31
9,490,277,1835,31,40
490,277,1835,31,40,240
277,1835,31,40,240,141
1835,31,40,240,141,1182
31,40,240,141,1182,15
40,240,141,1182,15,1
240,141,1182,15,1,84
141,1182,15,1,84,1183
1182,15,1,84,1183,21
15,1,84,1183,21,5
1,84,1183,21,5,3
84,1183,21,5,3,862
1183,21,5,3,862,15
21,5,3,862,15,54
5,3,862,15,54,863
3,862,15,54,863,3
862,15,54,863,3,7
15,54,863,3,7,1184
54,863,3,7,1184,54
863,3,7,1184,54,863
3,7,1184,54,863,3
7,1184,54,863,3,7
1184,54,863,3,7,237
54,863,3,7,237,54
863,3,7,237,54,863
3,7,237,54,863,3
7,237,54,863,3,114
237,54,863,3,114,32
54,863,3,114,32,1185
863,3,114,32,1185,12
3,114,32,1185,12,2
114,32,1185,12,2,231
32,1185,12,2,231,1836
1185,12,2,231,1836,88
12,2,231,1836,88,68
2,231,1836,88,68,90
231,1836,88,68,90,1006
1836,88,68,90,1006,1837
88,68,90,1006,1837,18
68,90,1006,1837,18,47
90,1006,1837,18,47,487
1006,1837,18,47,487,1
1837,18,47,487,1,204
18,47,487,1,204,109
47,487,1,204,109,6
487,1,204,109,6,184
1,204,109,6,184,34
204,109,6,184,34,1
109,6,184,34,1,1838
6,184,34,1,1838,1186
184,34,1,1838,1186,809
34,1,1838,1186,809,16
1,1838,1186,809,16,3
1838,1186,809,16,3,114
1186,809,16,3,114,1839
809,16,3,114,1839,1
16,3,114,1839,1,122
3,114,1839,1,122,231
114,1839,1,122,231,1840
1839,1,122,231,1840,201
1,122,231,1840,201,1841
122,231,1840,201,1841,5
231,1840,201,1841,5,1842
1840,201,1841,5,1842,68
201,1841,5,1842,68,9
1841,5,1842,68,9,1843
5,1842,68,9,1843,22
1842,68,9,1843,22,3
68,9,1843,22,3,82
9,1843,22,3,82,62
1843,22,3,82,62,16
22,3,82,62,16,17
3,82,62,16,17,37
82,62,16,17,37,67
62,16,17,37,67,192
16,17,37,67,192,81
17,37,67,192,81,1187
37,67,192,81,1187,12
67,192,81,1187,12,1004
192,81,1187,12,1004,28
81,1187,12,1004,28,52
1187,12,1004,28,52,1
12,1004,28,52,1,755
1004,28,52,1,755,42
28,52,1,755,42,561
52,1,755,42,561,31
1,755,42,561,31,74
755,42,561,31,74,360
42,561,31,74,360,5
561,31,74,360,5,186
31,74,360,5,186,12
74,360,5,186,12,1844
360,5,186,12,1844,1845
5,186,12,1844,1845,864
186,12,1844,1845,864,10
12,1844,1845,864,10,85
1844,1845,864,10,85,13
1845,864,10,85,13,1
864,10,85,13,1,135
10,85,13,1,135,69
85,13,1,135,69,496
13,1,135,69,496,4
1,135,69,496,4,674
135,69,496,4,674,257
69,496,4,674,257,10
496,4,674,257,10,85
4,674,257,10,85,5
674,257,10,85,5,1
257,10,85,5,1,675
10,85,5,1,675,418
85,5,1,675,418,676
5,1,675,418,676,176
1,675,418,676,176,1
675,418,676,176,1,1846
418,676,176,1,1846,221
676,176,1,1846,221,1188
176,1,1846,221,1188,802
1,1846,221,1188,802,371
1846,221,1188,802,371,198
221,1188,802,371,198,14
1188,802,371,198,14,318
802,371,198,14,318,352
371,198,14,318,352,1
198,14,318,352,1,89
14,318,352,1,89,14
318,352,1,89,14,1185
352,1,89,14,1185,31
1,89,14,1185,31,6
89,14,1185,31,6,271
14,1185,31,6,271,74
1185,31,6,271,74,1045
31,6,271,74,1045,15
6,271,74,1045,15,1
271,74,1045,15,1,204
74,1045,15,1,204,1179
1045,15,1,204,1179,23
15,1,204,1179,23,210
1,204,1179,23,210,180
204,1179,23,210,180,14
1179,23,210,180,14,592
23,210,180,14,592,614
210,180,14,592,614,17
180,14,592,614,17,28
14,592,614,17,28,1
592,614,17,28,1,1189
614,17,28,1,1189,1178
17,28,1,1189,1178,15
28,1,1189,1178,15,1
1,1189,1178,15,1,249
1189,1178,15,1,249,1181
1178,15,1,249,1181,204
15,1,249,1181,204,1847
1,249,1181,204,1847,5
249,1181,204,1847,5,1190
1181,204,1847,5,1190,31
204,1847,5,1190,31,1
1847,5,1190,31,1,865
5,1190,31,1,865,308
1190,31,1,865,308,225
31,1,865,308,225,15
1,865,308,225,15,1
865,308,225,15,1,546
308,225,15,1,546,204
225,15,1,546,204,109
15,1,546,204,109,11
1,546,204,109,11,636
546,204,109,11,636,43
204,109,11,636,43,74
109,11,636,43,74,323
11,636,43,74,323,131
636,43,74,323,131,113
43,74,323,131,113,7
74,323,131,113,7,248
323,131,113,7,248,401
131,113,7,248,401,1
113,7,248,401,1,249
7,248,401,1,249,18
248,401,1,249,18,11
401,1,249,18,11,14
1,249,18,11,14,39
249,18,11,14,39,15
18,11,14,39,15,1
11,14,39,15,1,252
14,39,15,1,252,65
39,15,1,252,65,71
15,1,252,65,71,49
1,252,65,71,49,14
252,65,71,49,14,241
65,71,49,14,241,16
71,49,14,241,16,1848
49,14,241,16,1848,535
14,241,16,1848,535,1057
241,16,1848,535,1057,56
16,1848,535,1057,56,1
1848,535,1057,56,1,267
535,1057,56,1,267,123
1057,56,1,267,123,1
56,1,267,123,1,677
1,267,123,1,677,15
267,123,1,677,15,1
123,1,677,15,1,1849
1,677,15,1,1849,270
677,15,1,1849,270,1191
15,1,1849,270,1191,129
1,1849,270,1191,129,171
1849,270,1191,129,171,88
270,1191,129,171,88,14
1191,129,171,88,14,318
129,171,88,14,318,371
171,88,14,318,371,198
88,14,318,371,198,866
14,318,371,198,866,35
318,371,198,866,35,14
371,198,866,35,14,39
198,866,35,14,39,530
866,35,14,39,530,8
35,14,39,530,8,1850
14,39,530,8,1850,8
39,530,8,1850,8,51
530,8,1850,8,51,59
8,1850,8,51,59,46
1850,8,51,59,46,2
8,51,59,46,2,157
51,59,46,2,157,678
59,46,2,157,678,1851
46,2,157,678,1851,1852
2,157,678,1851,1852,341
157,678,1851,1852,341,773
678,1851,1852,341,773,1853
1851,1852,341,773,1853,1854
1852,341,773,1853,1854,13
341,773,1853,1854,13,23
773,1853,1854,13,23,22
1853,1854,13,23,22,49
1854,13,23,22,49,7
13,23,22,49,7,58
23,22,49,7,58,1855
22,49,7,58,1855,2
49,7,58,1855,2,412
7,58,1855,2,412,5
58,1855,2,412,5,116
1855,2,412,5,116,1
2,412,5,116,1,677
412,5,116,1,677,1191
5,116,1,677,1191,2
116,1,677,1191,2,157
1,677,1191,2,157,867
677,1191,2,157,867,135
1191,2,157,867,135,1856
2,157,867,135,1856,9
157,867,135,1856,9,107
867,135,1856,9,107,1857
135,1856,9,107,1857,15
1856,9,107,1857,15,2
9,107,1857,15,2,1858
107,1857,15,2,1858,17
1857,15,2,1858,17,1
15,2,1858,17,1,1859
2,1858,17,1,1859,1860
1858,17,1,1859,1860,2
17,1,1859,1860,2,497
1,1859,1860,2,497,1861
1859,1860,2,497,1861,25
1860,2,497,1861,25,9
2,497,1861,25,9,372
497,1861,25,9,372,201
1861,25,9,372,201,785
25,9,372,201,785,5
9,372,201,785,5,1862
372,201,785,5,1862,68
201,785,5,1862,68,9
785,5,1862,68,9,272
5,1862,68,9,272,1
1862,68,9,272,1,131
68,9,272,1,131,298
9,272,1,131,298,58
272,1,131,298,58,284
1,131,298,58,284,17
131,298,58,284,17,28
298,58,284,17,28,16
58,284,17,28,16,242
284,17,28,16,242,135
17,28,16,242,135,496
28,16,242,135,496,12
16,242,135,496,12,1
242,135,496,12,1,94
135,496,12,1,94,159
496,12,1,94,159,419
12,1,94,159,419,10
1,94,159,419,10,85
94,159,419,10,85,7
159,419,10,85,7,119
419,10,85,7,119,35
10,85,7,119,35,357
85,7,119,35,357,17
7,119,35,357,17,1
119,35,357,17,1,192
35,357,17,1,192,23
357,17,1,192,23,54
17,1,192,23,54,30
1,192,23,54,30,169
192,23,54,30,169,9
23,54,30,169,9,48
54,30,169,9,48,50
30,169,9,48,50,7
169,9,48,50,7,637
9,48,50,7,637,5
48,50,7,637,5,11
50,7,637,5,11,7
7,637,5,11,7,72
637,5,11,7,72,1863
5,11,7,72,1863,321
11,7,72,1863,321,16
7,72,1863,321,16,99
72,1863,321,16,99,1
1863,321,16,99,1,107
321,16,99,1,107,420
16,99,1,107,420,8
99,1,107,420,8,1
1,107,420,8,1,96
107,420,8,1,96,1192
420,8,1,96,1192,78
8,1,96,1192,78,31
1,96,1192,78,31,116
96,1192,78,31,116,4
1192,78,31,116,4,10
78,31,116,4,10,753
31,116,4,10,753,25
116,4,10,753,25,2
4,10,753,25,2,1193
10,753,25,2,1193,9
753,25,2,1193,9,48
25,2,1193,9,48,1194
2,1193,9,48,1194,15
1193,9,48,1194,15,1
9,48,1194,15,1,109
48,1194,15,1,109,147
1194,15,1,109,147,1192
15,1,109,147,1192,4
1,109,147,1192,4,47
109,147,1192,4,47,1864
147,1192,4,47,1864,10
1192,4,47,1864,10,247
4,47,1864,10,247,72
47,1864,10,247,72,1865
1864,10,247,72,1865,265
10,247,72,1865,265,1
247,72,1865,265,1,222
72,1865,265,1,222,5
1865,265,1,222,5,80
265,1,222,5,80,1
1,222,5,80,1,489
222,5,80,1,489,8
5,80,1,489,8,1
80,1,489,8,1,1195
1,489,8,1,1195,1866
489,8,1,1195,1866,201
8,1,1195,1866,201,184
1,1195,1866,201,184,15
1195,1866,201,184,15,1
1866,201,184,15,1,1867
201,184,15,1,1867,3
184,15,1,1867,3,673
15,1,1867,3,673,417
1,1867,3,673,417,9
1867,3,673,417,9,38
3,673,417,9,38,5
673,417,9,38,5,160
417,9,38,5,160,6
9,38,5,160,6,368
38,5,160,6,368,1
5,160,6,368,1,373
160,6,368,1,373,3
6,368,1,373,3,14
368,1,373,3,14,39
1,373,3,14,39,520
373,3,14,39,520,11
3,14,39,520,11,14
14,39,520,11,14,39
39,520,11,14,39,2
520,11,14,39,2,182
11,14,39,2,182,40
14,39,2,182,40,35
39,2,182,40,35,14
2,182,40,35,14,39
182,40,35,14,39,2
40,35,14,39,2,465
35,14,39,2,465,370
14,39,2,465,370,12
39,2,465,370,12,11
2,465,370,12,11,3
465,370,12,11,3,14
370,12,11,3,14,2
12,11,3,14,2,313
11,3,14,2,313,868
3,14,2,313,868,61
14,2,313,868,61,14
2,313,868,61,14,1
313,868,61,14,1,249
868,61,14,1,249,373
61,14,1,249,373,111
14,1,249,373,111,9
1,249,373,111,9,48
249,373,111,9,48,7
373,111,9,48,7,38
111,9,48,7,38,226
9,48,7,38,226,1
48,7,38,226,1,109
7,38,226,1,109,1868
38,226,1,109,1868,20
226,1,109,1868,20,31
1,109,1868,20,31,419
109,1868,20,31,419,4
1868,20,31,419,4,47
20,31,419,4,47,1196
31,419,4,47,1196,1869
419,4,47,1196,1869,4
4,47,1196,1869,4,19
47,1196,1869,4,19,10
1196,1869,4,19,10,353
1869,4,19,10,353,78
4,19,10,353,78,2
19,10,353,78,2,534
10,353,78,2,534,15
353,78,2,534,15,33
78,2,534,15,33,213
2,534,15,33,213,20
534,15,33,213,20,6
15,33,213,20,6,121
33,213,20,6,121,216
213,20,6,121,216,1
20,6,121,216,1,679
6,121,216,1,679,5
121,216,1,679,5,175
216,1,679,5,175,20
1,679,5,175,20,536
679,5,175,20,536,392
5,175,20,536,392,11
175,20,536,392,11,1870
20,536,392,11,1870,33
536,392,11,1870,33,213
392,11,1870,33,213,259
11,1870,33,213,259,849
1870,33,213,259,849,15
33,213,259,849,15,1871
213,259,849,15,1871,331
259,849,15,1871,331,4
849,15,1871,331,4,10
15,1871,331,4,10,1197
1871,331,4,10,1197,302
331,4,10,1197,302,145
4,10,1197,302,145,20
10,1197,302,145,20,112
1197,302,145,20,112,4
302,145,20,112,4,9
145,20,112,4,9,48
20,112,4,9,48,346
112,4,9,48,346,124
4,9,48,346,124,1
9,48,346,124,1,109
48,346,124,1,109,1872
346,124,1,109,1872,1873
124,1,109,1872,1873,132
1,109,1872,1873,132,331
109,1872,1873,132,331,13
1872,1873,132,331,13,129
1873,132,331,13,129,45
132,331,13,129,45,3
331,13,129,45,3,41
13,129,45,3,41,869
129,45,3,41,869,10
45,3,41,869,10,66
3,41,869,10,66,498
41,869,10,66,498,34
869,10,66,498,34,8
10,66,498,34,8,322
66,498,34,8,322,5
498,34,8,322,5,414
34,8,322,5,414,108
8,322,5,414,108,30
322,5,414,108,30,1198
5,414,108,30,1198,3
414,108,30,1198,3,197
108,30,1198,3,197,2
30,1198,3,197,2,475
1198,3,197,2,475,195
3,197,2,475,195,9
197,2,475,195,9,322
2,475,195,9,322,5
475,195,9,322,5,216
195,9,322,5,216,680
9,322,5,216,680,2
322,5,216,680,2,1874
5,216,680,2,1874,87
216,680,2,1874,87,40
680,2,1874,87,40,8
2,1874,87,40,8,36
1874,87,40,8,36,184
87,40,8,36,184,36
40,8,36,184,36,15
8,36,184,36,15,10
36,184,36,15,10,7
184,36,15,10,7,681
36,15,10,7,681,6
15,10,7,681,6,1199
10,7,681,6,1199,181
7,681,6,1199,181,1
681,6,1199,181,1,142
6,1199,181,1,142,195
1199,181,1,142,195,1
181,1,142,195,1,1200
1,142,195,1,1200,7
142,195,1,1200,7,330
195,1,1200,7,330,8
1,1200,7,330,8,36
1200,7,330,8,36,5
7,330,8,36,5,16
330,8,36,5,16,7
8,36,5,16,7,133
36,5,16,7,133,3
5,16,7,133,3,862
16,7,133,3,862,65
7,133,3,862,65,3
133,3,862,65,3,7
3,862,65,3,7,449
862,65,3,7,449,3
65,3,7,449,3,130
3,7,449,3,130,63
7,449,3,130,63,1
449,3,130,63,1,421
3,130,63,1,421,43
130,63,1,421,43,1
63,1,421,43,1,222
1,421,43,1,222,1
421,43,1,222,1,422
43,1,222,1,422,7
1,222,1,422,7,248
222,1,422,7,248,870
1,422,7,248,870,657
422,7,248,870,657,28
7,248,870,657,28,132
248,870,657,28,132,331
870,657,28,132,331,682
657,28,132,331,682,11
28,132,331,682,11,59
132,331,682,11,59,18
331,682,11,59,18,98
682,11,59,18,98,22
11,59,18,98,22,14
59,18,98,22,14,528
18,98,22,14,528,1
98,22,14,528,1,215
22,14,528,1,215,497
14,528,1,215,497,3
528,1,215,497,3,211
1,215,497,3,211,54
215,497,3,211,54,6
497,3,211,54,6,531
3,211,54,6,531,1
211,54,6,531,1,244
54,6,531,1,244,332
6,531,1,244,332,5
531,1,244,332,5,1
1,244,332,5,1,683
244,332,5,1,683,565
332,5,1,683,565,401
5,1,683,565,401,230
1,683,565,401,230,22
683,565,401,230,22,211
565,401,230,22,211,2
401,230,22,211,2,683
230,22,211,2,683,565
22,211,2,683,565,7
211,2,683,565,7,2
2,683,565,7,2,1875
683,565,7,2,1875,6
565,7,2,1875,6,10
7,2,1875,6,10,18
2,1875,6,10,18,22
1875,6,10,18,22,7
6,10,18,22,7,67
10,18,22,7,67,566
18,22,7,67,566,5
22,7,67,566,5,684
7,67,566,5,684,1876
67,566,5,684,1876,13
566,5,684,1876,13,1877
5,684,1876,13,1877,8
684,1876,13,1877,8,275
1876,13,1877,8,275,11
13,1877,8,275,11,745
1877,8,275,11,745,871
8,275,11,745,871,1005
275,11,745,871,1005,132
11,745,871,1005,132,567
745,871,1005,132,567,871
871,1005,132,567,871,529
1005,132,567,871,529,7
132,567,871,529,7,10
567,871,529,7,10,23
871,529,7,10,23,3
529,7,10,23,3,82
7,10,23,3,82,568
10,23,3,82,568,794
23,3,82,568,794,21
3,82,568,794,21,10
82,568,794,21,10,44
568,794,21,10,44,121
794,21,10,44,121,11
21,10,44,121,11,23
10,44,121,11,23,3
44,121,11,23,3,7
121,11,23,3,7,67
11,23,3,7,67,492
23,3,7,67,492,1067
3,7,67,492,1067,11
7,67,492,1067,11,14
67,492,1067,11,14,95
492,1067,11,14,95,6
1067,11,14,95,6,93
11,14,95,6,93,25
14,95,6,93,25,323
95,6,93,25,323,12
6,93,25,323,12,2
93,25,323,12,2,253
25,323,12,2,253,142
323,12,2,253,142,23
12,2,253,142,23,10
2,253,142,23,10,14
253,142,23,10,14,342
142,23,10,14,342,39
23,10,14,342,39,240
10,14,342,39,240,5
14,342,39,240,5,1878
342,39,240,5,1878,30
39,240,5,1878,30,9
240,5,1878,30,9,634
5,1878,30,9,634,3
1878,30,9,634,3,59
30,9,634,3,59,91
9,634,3,59,91,1201
634,3,59,91,1201,5
3,59,91,1201,5,1879
59,91,1201,5,1879,173
91,1201,5,1879,173,3
1201,5,1879,173,3,270
5,1879,173,3,270,7
1879,173,3,270,7,181
173,3,270,7,181,28
3,270,7,181,28,3
270,7,181,28,3,14
7,181,28,3,14,6
181,28,3,14,6,1202
28,3,14,6,1202,42
3,14,6,1202,42,110
14,6,1202,42,110,386
6,1202,42,110,386,8
1202,42,110,386,8,132
42,110,386,8,132,5
110,386,8,132,5,22
386,8,132,5,22,7
8,132,5,22,7,56
132,5,22,7,56,225
5,22,7,56,225,544
22,7,56,225,544,1880
7,56,225,544,1880,173
56,225,544,1880,173,3
225,544,1880,173,3,7
544,1880,173,3,7,10
1880,173,3,7,10,14
173,3,7,10,14,2
3,7,10,14,2,442
7,10,14,2,442,164
10,14,2,442,164,1203
14,2,442,164,1203,1204
2,442,164,1203,1204,235
442,164,1203,1204,235,218
164,1203,1204,235,218,5
1203,1204,235,218,5,1097
1204,235,218,5,1097,246
235,218,5,1097,246,86
218,5,1097,246,86,3
5,1097,246,86,3,1205
1097,246,86,3,1205,685
246,86,3,1205,685,360
86,3,1205,685,360,298
3,1205,685,360,298,453
1205,685,360,298,453,25
685,360,298,453,25,2
360,298,453,25,2,266
298,453,25,2,266,8
453,25,2,266,8,1881
25,2,266,8,1881,1882
2,266,8,1881,1882,181
266,8,1881,1882,181,8
8,1881,1882,181,8,28
1881,1882,181,8,28,1
1882,181,8,28,1,544
181,8,28,1,544,22
8,28,1,544,22,14
28,1,544,22,14,1883
1,544,22,14,1883,21
544,22,14,1883,21,15
22,14,1883,21,15,1
14,1883,21,15,1,540
1883,21,15,1,540,1
21,15,1,540,1,123
15,1,540,1,123,291
1,540,1,123,291,10
540,1,123,291,10,484
1,123,291,10,484,56
123,291,10,484,56,9
291,10,484,56,9,499
10,484,56,9,499,1884
484,56,9,499,1884,7
56,9,499,1884,7,2
9,499,1884,7,2,67
499,1884,7,2,67,442
1884,7,2,67,442,847
